0 1,060008E-05 1,151933E-08 2,176664E-10 1

19 7,856032E-05 2,645173E-07 4,327651E-09 1

38 0,0001678672 3,546002E-07 9,208706E-09 1

57 0,0002610704 3,855257E-07 8,484471E-09 1

76 0,0003459302 3,763421E-07 3,649682E-09 1

95 0,0004141671 3,372698E-07 4,907321E-09 1

114 0,0004608133 2,7522E-07 -5,635565E-08 1

133 0,0004837501 1,966347E-07 -5,029801E-08 1

152 0,0004829222 1,071166E-07 -4,94292E-08 1

171 0,0004599516 1,324721E-08 -4,753253E-08 1

190 0,0004176167 -7,836768E-08 -4,177706E-08 1

209 0,0003594412 -1,614757E-07 -3,777776E-08 1

228 0,0002893386 -2,307927E-07 -3,250447E-08 1

247 0,0002113532 -2,824142E-07 -9,105854E-08 1

266 0,0001293379 -3,144715E-07 -1,771686E-08 1

285 4,682667E-05 -3,268308E-07 -1,480674E-08 1

304 -3,299094E-05 -3,204893E-07 -9,500389E-09 1

323 -0,0001074611 -2,981691E-07 -9,394225E-09 1

342 -0,0001745126 -2,634539E-07 5,759468E-08 1

361 -0,0002325147 -2,197752E-07 4,813738E-08 1

380 -0,000280445 -1,712265E-07 -2,014864E-08 1

399 -0,0003178401 -1,215509E-07 -1,454628E-08 1

418 -0,0003445761 -7,332478E-08 -1,389227E-08 1

437 -0,0003609071 -2,883099E-08 5,362806E-08 1

456 -0,000367509 1,001168E-08 4,918142E-08 1

475 -0,0003651991 4,267102E-08 4,633451E-08 1

494 -0,0003550046 6,869351E-08 4,536989E-08 1

513 -0,0003381122 8,808733E-08 -2,082943E-08 1

532 -0,0003156569 1,016506E-07 -1,525109E-08 1

551 -0,0002888991 1,096866E-07 -1,183647E-08 1

570 -0,0002589966 1,097957E-07 4,418321E-08 1

589 -0,000227154 1,090718E-07 4,493734E-08 1

608 -0,0001943738 1,08172E-07 3,883464E-08 1

627 -0,0001615826 1,072272E-07 3,409852E-08 1

646 -0,0001295852 1,062947E-07 2,877985E-08 1

665 -9,905314E-05 1,054037E-07 2,486622E-08 1

684 -7,053092E-05 1,045706E-07 2,043308E-08 1

703 -4,443224E-05 1,037996E-07 1,759696E-08 1

722 -2,104673E-05 1,030899E-07 1,641274E-08 1

741 -5,576294E-07 1,024366E-07 1,254811E-08 1

760 1,695752E-05 1,018306E-07 8,293873E-09 1

779 3,150594E-05 1,012631E-07 7,928954E-09 1

798 4,317635E-05 1,00735E-07 5,286236E-09 1

817 5,211565E-05 1,002381E-07 4,421938E-09 1

836 5,847821E-05 9,973567E-08 6,247632E-08 1

855 6,257137E-05 9,933449E-08 6,2195E-08 1

874 6,46119E-05 9,894479E-08 5,369851E-08 1

893 6,483099E-05 9,860882E-08 -1,148432E-08 1

912 6,35758E-05 9,827327E-08 -2,022399E-08 1

931 6,107567E-05 9,799067E-08 -2,237405E-08 1

950 5,759159E-05 9,775683E-08 -2,384724E-08 1

969 5,336502E-05 9,756756E-08 -2,465489E-08 1

988 4,861713E-05 9,741922E-08 -2,051472E-08 1

1007 4,355051E-05 9,731679E-08 -2,011387E-08 1

1026 3,834302E-05 9,725169E-08 -1,923707E-08 1

1045 3,3146E-05 9,722031E-08 -1,58042E-08 1

1064 2,808939E-05 9,722201E-08 -1,408764E-08 1

1083 2,327398E-05 9,72485E-08 -1,202031E-08 1

1102 1,878245E-05 9,729643E-08 -9,688552E-09 1

1121 1,470419E-05 9,739664E-08 -6,833456E-08 1

1140 1,101498E-05 9,744233E-08 -6,859891E-08 1

1159 7,76886E-06 9,751749E-08 -5,865686E-08 1

1178 4,976289E-06 9,760654E-08 -5,326967E-08 1

1197 2,631685E-06 9,769537E-08 -4,848264E-08 1

1216 7,529743E-07 9,781499E-08 -9,932178E-08 1

1235 -7,564668E-07 9,786497E-08 -9,070517E-08 1

1254 -1,888955E-06 9,793693E-08 -7,958102E-08 1

1273 -2,681743E-06 9,800451E-08 -6,602468E-08 1

1292 -3,171153E-06 9,806722E-08 -5,45088E-08 1

1311 -3,392575E-06 9,812108E-08 -4,112388E-08 1

1330 -3,389083E-06 9,816839E-08 -3,06078E-08 1

1349 -3,19723E-06 9,820761E-08 -2,134659E-08 1

1368 -2,855668E-06 9,823893E-08 -1,340759E-08 1

1387 -2,397224E-06 9,826367E-08 -7,116848E-09 1

1406 -1,850771E-06 9,828273E-08 -2,807031E-09 1

1425 -1,249369E-06 9,829419E-08 1,585903E-09 1

1444 -6,156042E-07 9,830303E-08 1,597268E-09 1

1463 2,817251E-08 9,830456E-08 3,700426E-09 1

1482 6,651971E-07 9,830244E-08 7,727172E-09 1

1501 1,277542E-06 9,829982E-08 7,26698E-09 1

1520 1,856592E-06 9,829371E-08 6,424774E-09 1

1539 2,392801E-06 9,828457E-08 7,328696E-09 1

1558 2,880115E-06 9,827499E-08 7,998342E-09 1

1577 3,352063E-06 9,829923E-08 -4,874959E-08 1

1596 3,761612E-06 9,829134E-08 -1,068011E-07 1

1615 4,08059E-06 9,824384E-08 -1,014079E-07 1

1634 4,346017E-06 9,822593E-08 -8,896005E-08 1

1653 4,559057E-06 9,821334E-08 -7,376931E-08 1

1672 4,724832E-06 9,820447E-08 -6,045697E-08 1

1691 4,846603E-06 9,819571E-08 -4,724214E-08 1

1710 4,929723E-06 9,819017E-08 -3,877434E-08 1

1729 4,976522E-06 9,818346E-08 -3,113371E-08 1

