0 0 -4,172325E-07 0

20 3,946393E-09 -0,003362268 1,23473E-06

40 7,515569E-09 -0,008626878 2,145942E-06

60 6,341011E-09 -0,01523072 2,950052E-06

80 8,639747E-09 -0,0226894 3,606372E-06

100 -6,655792E-09 -0,03059506 4,072586E-06

120 1,283656E-08 -0,03861323 4,312751E-06

140 1,754679E-08 -0,04647619 4,313712E-06

160 1,986247E-08 -0,05397809 4,078698E-06

180 2,041091E-08 -0,06096739 3,63047E-06

200 2,228592E-08 -0,06734043 3,007299E-06

220 2,490945E-08 -0,07303402 2,256565E-06

240 1,337982E-08 -0,0780192 1,430686E-06

260 1,279399E-08 -0,08229426 5,781912E-07

280 1,808355E-08 -0,08587959 -2,55648E-07

300 5,885425E-09 -0,08881238 -1,038643E-06

320 2,713918E-10 -0,09114137 -1,74209E-06

340 5,089905E-09 -0,09292352 -2,349829E-06

360 9,700116E-10 -0,09422004 -2,853005E-06

380 5,425136E-09 -0,09509447 -3,25017E-06

400 -4,227584E-09 -0,09560853 -3,543653E-06

420 1,135165E-08 -0,09582356 -3,740366E-06

440 2,853007E-08 -0,0957953 -3,848079E-06

460 1,657354E-08 -0,09557632 -3,8789E-06

480 1,394957E-08 -0,09521273 -3,840949E-06

500 1,389765E-08 -0,09474632 -3,744819E-06

520 1,728833E-08 -0,0942128 -3,599649E-06

540 1,609839E-08 -0,09364206 -3,414403E-06

560 2,914803E-09 -0,09305915 -3,196707E-06

580 2,263279E-08 -0,092484 -2,956076E-06

600 2,394701E-08 -0,09193227 -2,698915E-06

620 2,405426E-08 -0,09141564 -2,432527E-06

640 2,500303E-08 -0,09094232 -2,163753E-06

660 1,293704E-08 -0,0905174 -1,899956E-06

680 2,736583E-08 -0,09014329 -1,643304E-06

700 2,928092E-08 -0,08982065 -1,401044E-06

720 3,357714E-08 -0,08954835 -1,176872E-06

740 3,641049E-08 -0,08932388 -9,738505E-07

760 3,576765E-08 -0,08914408 -7,94078E-07

780 3,731114E-08 -0,08900496 -6,390965E-07

800 3,754113E-08 -0,08890209 -5,100956E-07

820 3,690596E-08 -0,08883101 -4,060494E-07

840 3,447729E-08 -0,08878711 -3,257665E-07

860 3,352428E-08 -0,08876604 -2,68803E-07

880 3,109638E-08 -0,08876374 -2,328452E-07

900 2,799874E-08 -0,08877635 -2,161214E-07

920 1,340049E-08 -0,08880019 -2,165034E-07

940 3,368019E-08 -0,08883256 -2,299348E-07

960 3,883539E-08 -0,08887053 -2,55226E-07

980 3,883539E-08 -0,08887053 -2,55226E-07

1000 3,883539E-08 -0,08887053 -2,55226E-07

1020 3,883539E-08 -0,08887053 -2,55226E-07

1040 3,883539E-08 -0,08887053 -2,55226E-07

1060 3,883539E-08 -0,08887053 -2,55226E-07

1080 3,883539E-08 -0,08887053 -2,55226E-07

1100 3,883539E-08 -0,08887053 -2,55226E-07

1120 3,883539E-08 -0,08887053 -2,55226E-07

1140 3,883539E-08 -0,08887053 -2,55226E-07

1160 3,883539E-08 -0,08887053 -2,55226E-07

1180 3,883539E-08 -0,08887053 -2,55226E-07

1200 3,883539E-08 -0,08887053 -2,55226E-07

1220 3,883539E-08 -0,08887053 -2,55226E-07

1240 3,883539E-08 -0,08887053 -2,55226E-07

1260 3,883539E-08 -0,08887053 -2,55226E-07

1280 3,883539E-08 -0,08887053 -2,55226E-07

1300 3,883539E-08 -0,08887053 -2,55226E-07

1320 3,883539E-08 -0,08887053 -2,55226E-07

1340 3,883539E-08 -0,08887053 -2,55226E-07

1360 3,883539E-08 -0,08887053 -2,55226E-07

1380 3,883539E-08 -0,08887053 -2,55226E-07

1400 3,883539E-08 -0,08887053 -2,55226E-07

1420 3,883539E-08 -0,08887053 -2,55226E-07

1440 3,883539E-08 -0,08887053 -2,55226E-07

1460 3,883539E-08 -0,08887053 -2,55226E-07

1480 3,883539E-08 -0,08887053 -2,55226E-07

1500 3,883539E-08 -0,08887053 -2,55226E-07

1520 3,883539E-08 -0,08887053 -2,55226E-07

1540 3,883539E-08 -0,08887053 -2,55226E-07

1560 3,883539E-08 -0,08887053 -2,55226E-07

1580 3,883539E-08 -0,08887053 -2,55226E-07

1600 3,883539E-08 -0,08887053 -2,55226E-07

1620 3,883539E-08 -0,08887053 -2,55226E-07

1640 3,883539E-08 -0,08887053 -2,55226E-07

1660 3,883539E-08 -0,08887053 -2,55226E-07

1680 3,883539E-08 -0,08887053 -2,55226E-07

1700 3,883539E-08 -0,08887053 -2,55226E-07

1720 3,883539E-08 -0,08887053 -2,55226E-07

1740 3,883539E-08 -0,08887053 -2,55226E-07

1760 3,883539E-08 -0,08887053 -2,55226E-07

1780 3,883539E-08 -0,08887053 -2,55226E-07

1800 3,883539E-08 -0,08887053 -2,55226E-07

1820 3,883539E-08 -0,08887053 -2,55226E-07

1840 3,883539E-08 -0,08887053 -2,55226E-07

1860 3,883539E-08 -0,08887053 -2,55226E-07

1880 3,883539E-08 -0,08887053 -2,55226E-07

1900 3,883539E-08 -0,08887053 -2,55226E-07

1920 3,883539E-08 -0,08887053 -2,55226E-07

1940 3,883539E-08 -0,08887053 -2,55226E-07

1960 3,883539E-08 -0,08887053 -2,55226E-07

1980 3,883539E-08 -0,08887053 -2,55226E-07

2000 3,883539E-08 -0,08887053 -2,55226E-07

2020 3,883539E-08 -0,08887053 -2,55226E-07

2040 3,883539E-08 -0,08887053 -2,55226E-07

2060 3,883539E-08 -0,08887053 -2,55226E-07

2080 3,883539E-08 -0,08887053 -2,55226E-07

2100 3,883539E-08 -0,08887053 -2,55226E-07

2120 3,883539E-08 -0,08887053 -2,55226E-07

2140 3,883539E-08 -0,08887053 -2,55226E-07

2160 3,883539E-08 -0,08887053 -2,55226E-07

2180 3,883539E-08 -0,08887053 -2,55226E-07

2200 3,883539E-08 -0,08887053 -2,55226E-07

2220 3,883539E-08 -0,08887053 -2,55226E-07

