0 0 0 0 1

20 6,559282E-05 2,435056E-07 3,962363E-09 1

40 0,0001516812 3,288916E-07 5,010824E-09 1

60 0,0002415427 3,573325E-07 4,157235E-09 1

80 0,0003234562 3,473043E-07 6,140733E-09 1

100 0,0003895184 3,089096E-07 -6,22636E-08 1

120 0,0004349286 2,488064E-07 -5,212627E-08 1

140 0,0004576105 1,732142E-07 -4,390901E-08 1

160 0,0004575402 8,785103E-08 -3,791087E-08 1

180 0,0004362562 -1,21821E-09 -3,388044E-08 1

200 0,0003964151 -8,777798E-08 -2,87846E-08 1

220 0,0003413446 -1,661788E-07 3,186344E-08 1

240 0,000274857 -2,311643E-07 2,770332E-08 1

260 0,0002007508 -2,796465E-07 2,656649E-08 1

280 0,0001227723 -3,09494E-07 8,372351E-08 1

300 4,426809E-05 -3,209637E-07 7,37438E-08 1

320 -3,170664E-05 -3,148748E-07 6,203709E-08 1

340 -0,000102618 -2,9382E-07 5,854533E-08 1

360 -0,0001664485 -2,610001E-07 4,847129E-08 1

380 -0,0002217048 -2,199894E-07 4,450444E-08 1

400 -0,0002674412 -1,744762E-07 -2,46026E-08 1

420 -0,0003030698 -1,273379E-07 -2,316298E-08 1

440 -0,0003285026 -8,162579E-08 4,338687E-08 1

460 -0,0003440897 -3,970608E-08 3,812873E-08 1

480 -0,0003503673 -2,650946E-09 3,108274E-08 1

500 -0,0003481465 2,852491E-08 2,637834E-08 1

520 -0,0003384063 5,350135E-08 2,420797E-08 1

540 -0,0003222427 7,235353E-08 1,750587E-08 1

560 -0,000300775 8,561628E-08 -5,107949E-08 1

580 -0,0002752442 9,347199E-08 -4,381638E-08 1

600 -0,0002467551 9,701292E-08 -4,176843E-08 1

620 -0,0002163791 9,686319E-08 -3,887238E-08 1

640 -0,0001851071 9,369933E-08 -3,452973E-08 1

660 -0,0001538626 8,802652E-08 -9,292493E-08 1

680 -0,0001233344 8,080536E-08 -8,285769E-08 1

700 -9,420398E-05 7,209057E-08 -7,270175E-08 1

720 -6,699283E-05 6,241105E-08 -5,953601E-08 1

