0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09

40 -3,246462E-11 -0,0002743602 4,495359E-08

60 -1,467609E-11 -0,000187099 5,343145E-08

80 -4,017986E-10 5,543232E-06 3,565788E-08

100 -4,651508E-10 0,0002763271 5,292122E-09

120 -4,528478E-10 0,0005998015 -3,148034E-08

140 -4,405687E-10 0,0009551048 -6,800383E-08

160 -4,7691E-10 0,001324773 -9,993073E-08

180 -5,036621E-10 0,00169456 -1,243625E-07

200 -5,418858E-10 0,002053142 -1,396747E-07

220 -5,604288E-10 0,002391994 -1,453591E-07

240 -1,524333E-09 0,002705038 -1,416811E-07

260 -2,282479E-09 0,002988219 -1,295684E-07

280 -3,967459E-09 0,003239214 -1,101262E-07

300 -5,501681E-09 0,003457308 -8,484403E-08

320 -6,148947E-09 0,003642738 -5,53739E-08

340 -2,870757E-09 0,003796518 -2,407978E-08

360 -2,339543E-09 0,003921449 9,911673E-09

380 -1,80362E-09 0,004018903 4,155436E-08

400 -7,36279E-10 0,004092336 7,282051E-08

420 -7,36279E-10 0,004092336 7,282051E-08

440 -7,36279E-10 0,004092336 7,282051E-08

460 -7,36279E-10 0,004092336 7,282051E-08

480 -7,36279E-10 0,004092336 7,282051E-08

500 -7,36279E-10 0,004092336 7,282051E-08

520 -7,36279E-10 0,004092336 7,282051E-08

540 -7,36279E-10 0,004092336 7,282051E-08

560 -7,36279E-10 0,004092336 7,282051E-08

580 -7,36279E-10 0,004092336 7,282051E-08

600 -7,36279E-10 0,004092336 7,282051E-08

620 -7,36279E-10 0,004092336 7,282051E-08

640 -7,36279E-10 0,004092336 7,282051E-08

660 -7,36279E-10 0,004092336 7,282051E-08

680 -7,36279E-10 0,004092336 7,282051E-08

700 -7,36279E-10 0,004092336 7,282051E-08

720 -7,36279E-10 0,004092336 7,282051E-08

740 -7,36279E-10 0,004092336 7,282051E-08

760 -7,36279E-10 0,004092336 7,282051E-08

780 -7,36279E-10 0,004092336 7,282051E-08

800 -7,36279E-10 0,004092336 7,282051E-08

820 -7,36279E-10 0,004092336 7,282051E-08

840 -7,36279E-10 0,004092336 7,282051E-08

860 -7,36279E-10 0,004092336 7,282051E-08

880 -7,36279E-10 0,004092336 7,282051E-08

900 -7,36279E-10 0,004092336 7,282051E-08

920 -7,36279E-10 0,004092336 7,282051E-08

940 -7,36279E-10 0,004092336 7,282051E-08

960 -7,36279E-10 0,004092336 7,282051E-08

980 -7,36279E-10 0,004092336 7,282051E-08

1000 -7,36279E-10 0,004092336 7,282051E-08

1020 -7,36279E-10 0,004092336 7,282051E-08

1040 -7,36279E-10 0,004092336 7,282051E-08

1060 -7,36279E-10 0,004092336 7,282051E-08

1080 -7,36279E-10 0,004092336 7,282051E-08

1100 -7,36279E-10 0,004092336 7,282051E-08

1120 -7,36279E-10 0,004092336 7,282051E-08

1140 -7,36279E-10 0,004092336 7,282051E-08

1160 -7,36279E-10 0,004092336 7,282051E-08

1180 -7,36279E-10 0,004092336 7,282051E-08

1200 -7,36279E-10 0,004092336 7,282051E-08

1220 -7,36279E-10 0,004092336 7,282051E-08

1240 -7,36279E-10 0,004092336 7,282051E-08

1260 -7,36279E-10 0,004092336 7,282051E-08

1280 -7,36279E-10 0,004092336 7,282051E-08

1300 -7,36279E-10 0,004092336 7,282051E-08

1320 -7,36279E-10 0,004092336 7,282051E-08

1340 -7,36279E-10 0,004092336 7,282051E-08

1360 -7,36279E-10 0,004092336 7,282051E-08

1380 -7,36279E-10 0,004092336 7,282051E-08

1400 -7,36279E-10 0,004092336 7,282051E-08

1420 -7,36279E-10 0,004092336 7,282051E-08

1440 -7,36279E-10 0,004092336 7,282051E-08

1460 -7,36279E-10 0,004092336 7,282051E-08

1480 -7,36279E-10 0,004092336 7,282051E-08

1500 -7,36279E-10 0,004092336 7,282051E-08

1520 -7,36279E-10 0,004092336 7,282051E-08

1540 -7,36279E-10 0,004092336 7,282051E-08

1560 -7,36279E-10 0,004092336 7,282051E-08

1580 -7,36279E-10 0,004092336 7,282051E-08

1600 -7,36279E-10 0,004092336 7,282051E-08

1620 -7,36279E-10 0,004092336 7,282051E-08

1640 -7,36279E-10 0,004092336 7,282051E-08

1660 -7,36279E-10 0,004092336 7,282051E-08

1680 -7,36279E-10 0,004092336 7,282051E-08

1700 -7,36279E-10 0,004092336 7,282051E-08

1720 -7,36279E-10 0,004092336 7,282051E-08

1740 -7,36279E-10 0,004092336 7,282051E-08

1760 -7,36279E-10 0,004092336 7,282051E-08

1780 -7,36279E-10 0,004092336 7,282051E-08

1800 -7,36279E-10 0,004092336 7,282051E-08

1820 -7,36279E-10 0,004092336 7,282051E-08

1840 -7,36279E-10 0,004092336 7,282051E-08

1860 -7,36279E-10 0,004092336 7,282051E-08

1880 -7,36279E-10 0,004092336 7,282051E-08

1900 -7,36279E-10 0,004092336 7,282051E-08

