0 1,924112E-06 1,298075E-09 -8,397331E-10 1

1 1,918524E-06 1,298061E-09 -8,426134E-10 1

2 1,912936E-06 1,298064E-09 -8,453978E-10 1

3 1,907348E-06 1,298053E-09 -8,482224E-10 1

4 1,90176E-06 1,298034E-09 -8,510684E-10 1

5 1,896173E-06 1,298014E-09 -8,539344E-10 1

6 1,890585E-06 1,297993E-09 -8,568193E-10 1

7 1,884997E-06 1,297999E-09 -8,597323E-10 1

8 1,879409E-06 1,297985E-09 -8,626571E-10 1

9 1,873821E-06 1,297966E-09 -8,655989E-10 1

10 1,868233E-06 1,297946E-09 -8,685588E-10 1

11 1,862645E-06 1,297948E-09 -8,714313E-10 1

12 1,857057E-06 1,297937E-09 -8,743425E-10 1

13 1,851469E-06 1,297919E-09 -8,772748E-10 1

14 1,845881E-06 1,297899E-09 -8,802268E-10 1

15 1,840293E-06 1,297905E-09 -8,832071E-10 1

16 1,834705E-06 1,297892E-09 -8,861992E-10 1

17 1,829117E-06 1,297873E-09 -8,892083E-10 1

18 1,823529E-06 1,297854E-09 -8,922356E-10 1

19 1,817941E-06 1,297599E-09 -8,214445E-10 1

20 1,812354E-06 1,297692E-09 -8,353052E-10 1

21 1,806766E-06 1,297749E-09 -8,420752E-10 1

22 1,801178E-06 1,297538E-09 -7,725242E-10 1

23 1,79559E-06 1,297651E-09 -7,867409E-10 1

24 1,788139E-06 1,297717E-09 -7,935612E-10 1

25 1,780689E-06 1,297743E-09 -7,977973E-10 1

26 1,773238E-06 1,297745E-09 -8,011382E-10 1

27 1,765787E-06 1,297759E-09 -8,041847E-10 1

28 1,758337E-06 1,297753E-09 -8,071404E-10 1

29 1,750886E-06 1,297765E-09 -8,100808E-10 1

30 1,743436E-06 1,297754E-09 -8,13018E-10 1

31 1,735985E-06 1,297738E-09 -8,159669E-10 1

32 1,728534E-06 1,29772E-09 -8,189322E-10 1

33 1,721084E-06 1,297701E-09 -8,219153E-10 1

34 1,713633E-06 1,29773E-09 -8,24706E-10 1

35 1,706183E-06 1,297724E-09 -8,275363E-10 1

36 1,698732E-06 1,297709E-09 -8,30394E-10 1

37 1,691282E-06 1,297691E-09 -8,332737E-10 1

38 1,683831E-06 1,297676E-09 -8,361825E-10 1

39 1,67638E-06 1,297658E-09 -8,391083E-10 1

40 1,66893E-06 1,297689E-09 -8,419636E-10 1

41 1,661479E-06 1,297684E-09 -8,448403E-10 1

42 1,654029E-06 1,297669E-09 -8,477379E-10 1

43 1,646578E-06 1,297652E-09 -8,506553E-10 1

44 1,639128E-06 1,297634E-09 -8,535917E-10 1

45 1,631677E-06 1,297616E-09 -8,565468E-10 1

46 1,624226E-06 1,297624E-09 -8,594241E-10 1

47 1,616776E-06 1,297636E-09 -8,622228E-10 1

48 1,609325E-06 1,297629E-09 -8,650644E-10 1

49 1,601875E-06 1,297614E-09 -8,679286E-10 1

50 1,594424E-06 1,297597E-09 -8,708129E-10 1

51 1,586973E-06 1,297606E-09 -8,736116E-10 1

52 1,579523E-06 1,297595E-09 -8,764394E-10 1

53 1,572072E-06 1,297602E-09 -8,791922E-10 1

54 1,564622E-06 1,297591E-09 -8,819834E-10 1

55 1,557171E-06 1,297576E-09 -8,848048E-10 1

56 1,549721E-06 1,297559E-09 -8,87653E-10 1

57 1,54227E-06 1,297572E-09 -8,904232E-10 1

58 1,534819E-06 1,297563E-09 -8,932198E-10 1

59 1,527369E-06 1,297548E-09 -8,960385E-10 1

60 1,519918E-06 1,297555E-09 -8,987713E-10 1

61 1,512468E-06 1,297544E-09 -9,015422E-10 1

62 1,505017E-06 1,297529E-09 -9,043435E-10 1

63 1,497566E-06 1,297539E-09 -9,07075E-10 1

64 1,490116E-06 1,297529E-09 -9,09841E-10 1

65 1,482665E-06 1,297515E-09 -9,12636E-10 1

66 1,475215E-06 1,297522E-09 -9,153597E-10 1

67 1,467764E-06 1,297512E-09 -9,181186E-10 1

68 1,460314E-06 1,297527E-09 -9,209253E-10 1

69 1,452863E-06 1,29752E-09 -9,237496E-10 1

